city,competition,date,match-id,gender,match-number,match-referee,method,neutralvenue,outcome,player-of-match,reserve-umpire,season,series,team-0,team-1,toss-decision,toss-winner,tv-umpire,umpire-0,umpire-1,venue,winner,winner-runs,winner-wickets,year
Chittagong,,2010/03/05,426422,male,3.0,JJ Crowe,,,,C Kieswetter,Masudur Rahman,2009/10,England in Bangladesh ODI Series,Bangladesh,England,field,Bangladesh,Sharfuddoula,Enamul Haque,RJ Tucker,Zohur Ahmed Chowdhury Stadium,England,45.0,,2010
Chester-le-Street,,2010/09/10,426428,male,1.0,JJ Crowe,,,,SM Davies,RK Illingworth,2010,NatWest Series,England,Pakistan,field,Pakistan,RA Kettleborough,BR Doctrove,IJ Gould,Riverside Ground,England,24.0,,2010
Leeds,,2010/09/12,426429,male,2.0,JJ Crowe,,,,AJ Strauss,RA Kettleborough,2010,NatWest Series,England,Pakistan,bat,Pakistan,IJ Gould,BR Doctrove,NJ Llong,Headingley,England,,4.0,2010
London,,2010/09/17,426430,male,3.0,JJ Crowe,,,,Umar Gul,IJ Gould,2010,NatWest Series,England,Pakistan,bat,Pakistan,NJ Llong,BR Doctrove,RK Illingworth,Kennington Oval,Pakistan,23.0,,2010
London,,2010/09/20,426431,male,4.0,JJ Crowe,,,,Abdul Razzaq,NJ Llong,2010,NatWest Series,England,Pakistan,bat,Pakistan,RK Illingworth,BR Doctrove,RA Kettleborough,Lord's,Pakistan,38.0,,2010
Southampton,,2010/09/22,426432,male,5.0,JJ Crowe,,,,EJG Morgan,RK Illingworth,2010,NatWest Series,England,Pakistan,bat,England,NJ Llong,BR Doctrove,IJ Gould,The Rose Bowl,England,121.0,,2010
Abu Dhabi,,2009/11/03,426720,male,1.0,AJ Pycroft,,True,,Shahid Afridi,Nadeem Ghauri,2009/10,Pakistan v New Zealand ODI Series,New Zealand,Pakistan,bat,Pakistan,Zameer Haider,Asad Rauf,BNJ Oxenford,Sheikh Zayed Stadium,Pakistan,138.0,,2009
Abu Dhabi,,2009/11/06,426721,male,2.0,AJ Pycroft,,True,,BB McCullum,Nadeem Ghauri,2009/10,Pakistan v New Zealand ODI Series,New Zealand,Pakistan,bat,New Zealand,Asad Rauf,BNJ Oxenford,Zameer Haider,Sheikh Zayed Stadium,New Zealand,64.0,,2009
Abu Dhabi,,2009/11/09,426722,male,3.0,AJ Pycroft,,True,,Mohammad Amir,Ahsan Raza,2009/10,Pakistan v New Zealand ODI Series,New Zealand,Pakistan,bat,New Zealand,Zameer Haider,Nadeem Ghauri,BNJ Oxenford,Sheikh Zayed Stadium,New Zealand,7.0,,2009
Benoni,,2009/11/08,430508,male,1.0,J Srinath,,,,T Taibu,KH Hurter,2009/10,Zimbabwe in South Africa ODI Series,South Africa,Zimbabwe,field,Zimbabwe,JD Cloete,HDPK Dharmasena,RE Koertzen,Willowmoore Park,South Africa,45.0,,2009
